OPEN-LOOP pos_err vs context_signal  (32 ep, H=16, curtain-up)

[vanilla_s0] K=4   h1  h4  h8  h12  h16   crossChance
  s=0.50       5.7   9.5  17.8  23.0  25.4      h=9
  s=0.70       5.4  10.3  18.0  25.8  29.2      h=8
  s=0.80       5.4  11.7  19.1  25.0  28.4      h=8
  s=0.90       4.6  10.1  18.3  25.6  28.8      h=8
  s=0.95       4.3  12.2  20.2  26.4  28.8      h=7
  s=0.99       5.1  10.8  17.7  22.4  24.8      h=9

[ff7_k3] K=4   h1  h4  h8  h12  h16   crossChance
  s=0.50       1.1   3.3   6.2   7.9  10.5      h=17
  s=0.70       1.0   3.0   6.7  10.2  13.9      h=17
  s=0.80       1.1   3.4   7.2  10.7  14.0      h=17
  s=0.90       1.0   4.4  10.5  16.1  18.6      h=15
  s=0.95       1.0   4.8  11.1  15.6  20.6      h=15
  s=0.99       0.9   5.0   9.8  14.9  19.6      h=15

[c1_h4_s0] K=4   h1  h4  h8  h12  h16   crossChance
  s=0.50       3.8   8.3  13.0  17.3  20.8      h=13
  s=0.70       1.7   6.2  10.3  13.7  14.8      h=17
  s=0.80       2.2   5.5  10.2  14.0  15.4      h=17
  s=0.90       2.0   4.2   8.9  11.8  13.5      h=17
  s=0.95       1.7   5.6   9.9  14.4  15.0      h=17
  s=0.99       1.7   5.6  10.3  15.3  16.7      h=17

wrote C:\Users\richt\OneDrive\Desktop\Code\transformer\experiments\EXP-022\sweep.json
