/weka/martius/mot936/dreamerv4-tests/runs/dreamer4-community-baseline/envs/venv-82924c6c2b64/lib64/python3.11/site-packages/pydantic/_internal/_generate_schema.py:2274: UnsupportedFieldAttributeWarning: The 'repr' attribute with value False was provided to the `Field()` function, which has no effect in the context it was used. 'repr' is field-specific metadata, and can only be attached to a model field using `Annotated` metadata or by assignment. This may have happened because an `Annotated` type alias using the `type` statement was used, or if the `Field()` function was attached to a single member of a union type.
  warnings.warn(
/weka/martius/mot936/dreamerv4-tests/runs/dreamer4-community-baseline/envs/venv-82924c6c2b64/lib64/python3.11/site-packages/pydantic/_internal/_generate_schema.py:2274: UnsupportedFieldAttributeWarning: The 'frozen' attribute with value True was provided to the `Field()` function, which has no effect in the context it was used. 'frozen' is field-specific metadata, and can only be attached to a model field using `Annotated` metadata or by assignment. This may have happened because an `Annotated` type alias using the `type` statement was used, or if the `Field()` function was attached to a single member of a union type.
  warnings.warn(
[WMDataset] Warning: tasks_json not found at __none__ (continuing with zeros lang_emb + default action masks).
[WMDataset] Task filter: keeping 1/1 tasks
[WMDataset] task=memmaze segments=1 N_eff=2902900 valid=2531700 act_dim=16 lang=no
[WMDataset] Total valid sequences: 2531700 across 1 tasks.
device=cuda params=42,646,592 dataset=2,531,700 batch=4 start_step=0 active=0.00/180.00s
step=1 active_h=0.000147 loss=0.050066 flow=0.292686 boot=0.000000 mem_std=1.6745 grad=0.4407 lr=1.000e-04
step=20 active_h=0.001200 loss=0.031807 flow=0.204706 boot=0.000000 mem_std=2.0632 grad=0.1689 lr=9.987e-05
step=40 active_h=0.002326 loss=0.014198 flow=0.189311 boot=0.000000 mem_std=2.1278 grad=0.0487 lr=9.949e-05
step=60 active_h=0.003435 loss=0.026197 flow=0.167825 boot=0.000000 mem_std=1.8845 grad=0.0883 lr=9.888e-05
step=80 active_h=0.004576 loss=0.022993 flow=0.164653 boot=0.000000 mem_std=2.1748 grad=0.1003 lr=9.803e-05
step=100 active_h=0.005684 loss=0.023230 flow=0.168485 boot=0.000000 mem_std=1.9178 grad=0.1364 lr=9.691e-05
step=120 active_h=0.006797 loss=0.031367 flow=0.133854 boot=0.000000 mem_std=2.1047 grad=0.1960 lr=9.558e-05
step=140 active_h=0.007905 loss=0.026460 flow=0.130649 boot=0.000000 mem_std=2.0082 grad=0.1338 lr=9.404e-05
step=160 active_h=0.009044 loss=0.011418 flow=0.152239 boot=0.000000 mem_std=1.9177 grad=0.0336 lr=9.224e-05
step=180 active_h=0.010155 loss=0.011020 flow=0.146939 boot=0.000000 mem_std=1.9396 grad=0.0449 lr=9.027e-05
step=200 active_h=0.011264 loss=0.027577 flow=0.089013 boot=0.000000 mem_std=1.8999 grad=0.1952 lr=8.810e-05
step=220 active_h=0.012375 loss=0.015438 flow=0.127233 boot=0.000000 mem_std=1.8543 grad=0.0682 lr=8.575e-05
step=240 active_h=0.013486 loss=0.024940 flow=0.083985 boot=0.000000 mem_std=1.8518 grad=0.1173 lr=8.323e-05
step=260 active_h=0.014627 loss=0.015134 flow=0.126226 boot=0.000000 mem_std=1.8009 grad=0.0583 lr=8.047e-05
step=280 active_h=0.015735 loss=0.024396 flow=0.079190 boot=0.000000 mem_std=1.8471 grad=0.1538 lr=7.763e-05
